"Old woman" (Maria Maksimovna Irikova) [2009]	[speaker:] əγaj qipbat duuldəq aqte duuldəq kobasʼ.	[speaker:] Әгай қипбат дуулдәқ... ақтэ дуулдәқ {{кобась}}.	[speaker:] Раньше медведь с бурундуком мирно жили.
"Hair and capercaillie" (Maria Maksimovna Irikova) [2009]	[speaker:] qunsʼa qon bʼesʼ dʼitdəŋa qajenʼij.	[speaker:] Кунся қоң {{беʼсь}} дитдаңа қаений:	[speaker:] На другой день заяц говорит глухарю:
"Old woman" (Maria Maksimovna Irikova) [2009]	[speaker:] i kopt qobetka tumeŋ qak aŋen lʼək sʼitonɔq.	[speaker:] И кобди қобэтка тумэң қак аңэн льәк ситонөқ.	[speaker:] И на спине бурундука {{появилось}} пять полосок.
"Hair and capercaillie" (Maria Maksimovna Irikova) [2009]	[speaker:] bʼesʼ bære.	[speaker:] {{Беʼсь}} бара:	[speaker:] Заяц говорит:
"Hair and capercaillie" (Maria Maksimovna Irikova) [2009]	[speaker:] tonʼ dʼit haj bʼeˀsʼ dejbuulʼbetʼin.	[speaker:] Тоʼн дит хай беʼсь дейбугольбетин.	[speaker:] Так заяц с глухарем {{поссорились}}.
"Hair and capercaillie" (Maria Maksimovna Irikova) [2009]	[speaker:] i kʼi= i kʼilʼ qote bʼeˀsʼ haj dʼit bəlʼa qojbəŋ bənʼ duγin.	[speaker:] И киль қотэ {{беʼсь}} хай дит боля қойбаң бән дугин.	[speaker:] С тех пор у зайца с глухарем дружба врозь [=вместе не живут].
"Hair and capercaillie" (Maria Maksimovna Irikova) [2009]	[speaker:] tonʼ dʼit haj bʼeˀsʼ dejbuulʼbetʼin.	[speaker:] Тоʼн дит хай {{беʼсь}} дейбугольбетин.	[speaker:] Так заяц с глухарем поссорились.
"Old woman" (Maria Maksimovna Irikova) [2009]	[speaker:] kʼisʼeŋ qipbat qɔ̀j qɔ̀j kobasʼ dysaoγon.	[speaker:] Кисең қипбат қөй қөй {{кобась}} дысаогон.	[speaker:] Тут медведь с бурундуком поссорились.
"Hair and capercaillie" (Maria Maksimovna Irikova) [2009]	[speaker:] usʼka bənʼ kʼiksʼibəsʼ.	[speaker:] Уська бән {{киксибесь}}.	[speaker:] назад не вернешься.
"Hair and capercaillie" (Maria Maksimovna Irikova) [2009]	[speaker:] u anuksʼ qonoksʼ haugtəsʼ.	[speaker:] «У анукс қонокс {{хакутесь}},	[speaker:] "Завтра утром ты встанешь,
